delay_ns,Config 1: Padrão (NLOS),"Config 2: Clusters/raios rápidos, decaimento rápido","Config 3: Clusters/raios lentos, decaimento lento",Config 4: Padrão com LOS (K=3)
0.0,0.0,0.0,0.0,0.75
2.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
8.0,0.0,0.9539092657406419,0.0,0.0
10.0,0.0,0.0,0.0,0.0
12.0,0.0,0.03144065005303185,0.0,0.0
14.0,0.0,0.010668849510614295,0.0,0.0
16.0,0.0,0.0,0.0,0.0
18.0,0.0,4.8119561283276474e-05,0.0,0.0
20.0,0.0,1.3309869275614907e-06,0.0,0.0
22.0,0.21707054179625818,1.2267287922595359e-05,0.0,0.054267635449064544
24.0,0.7395766844839727,0.0,0.0,0.18489417112099318
26.0,0.0,0.0,0.0,0.0
28.0,0.027698687983462585,0.0,0.0,0.006924671995865646
30.0,0.00383220467678137,0.0,0.0,0.0009580511691953425
32.0,0.0,0.0,0.0,0.0
34.0,0.010699471803542958,0.0,0.0,0.0026748679508857395
36.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
42.0,4.8257676578627605e-05,0.0,0.0,1.2064419144656901e-05
44.0,0.0,0.0,0.0,0.0
46.0,3.4079487605335935e-07,0.0,0.21730099260068073,8.519871901333984e-08
48.0,1.3296510457697029e-05,0.0,0.7403618487925939,3.3241276144242573e-06
50.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.02772809402296669,0.0
60.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0038362730991622616,0.0
64.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.010710830792485535,0.0
70.0,0.0,0.0014724753402297003,0.0,0.0
72.0,0.0,0.001054036898542648,0.0,0.0
74.0,0.0,0.00040211202996112325,0.0,0.0
76.0,0.0,0.0,0.0,0.0
78.0,0.0,9.267475313851834e-07,0.0,0.0
80.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,4.830890886604478e-05,0.0
88.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0,0.0
94.0,0.0,0.0,3.4115667757962675e-07,0.0
